"reviews","product_id","rating","timestamp","review_date_clean","row_num","product_name","helpful_count","is_verified","review_length","review_polarity","review_subjectivity"
"Suena super bien. Todo tipo de musica suenan con un sonido limpio. El material bueno. Todo perfectoMe gustó","B099TLMRB6","5","Reviewed in the United States July 31, 2024","2024-07-31","1","Bose Soundlink Flex","1","1","107","0.3333333333333333","0.6666666666666666"
"Just got it, needed to download an app to get it to connect, dumb. Wouldn’t connect, had to hold down the power button for 10 seconds to reset it, then it worked with the app. Also deleted all other Bose Bluetooth devices, not sure if that was necessary or not. It sounds great!","B099TLMRB6","4","Reviewed in the United States July 28, 2024","2024-07-28","1","Bose Soundlink Flex","1","1","278","0.0157407407407407","0.6337962962962963"
"Love this little thing! So portable, and surprisingly bumpy base and clear sound. I'm a big Sonos fan and considered both of their portable speaker products, but in the ended, decided on the Bose SoundLink primarily because of affordability. So glad I did! Not to mention the color options are so cute - something for everyone for sure!","B099TLMRB6","5","Reviewed in the United States July 10, 2024","2024-07-10","1","Bose Soundlink Flex","1","1","336","0.255965909090909","0.6247474747474747"
"Bose is known for its quality speakers and this is no exception. I work outside in my garden for hours on end and I need to connect with music, podcasts and Audible books. This unit exceeded my expectations. It is just fantastic and I bought it on sale, 33-1/3% off. What a steal.","B099TLMRB6","5","Reviewed in the United States August 6, 2024","2024-08-06","1","Bose Soundlink Flex","1","1","280","0.2","0.475"
"My wife asked for another product for her birthday, but she saw this speaker on line. She came to me and said ""I know you ordered XXXXXXXXXX but I'm pining for this and is there any chance you could cancel that and get me this?"" I said the item couldn't be returned but I've got a bunch of points and we ordered the speaker. Very glad we ordered it! Sounds great! The only downside is the charging cable is too short; I just used a different cord.","B099TLMRB6","5","Reviewed in the United States August 4, 2024","2024-08-04","1","Bose Soundlink Flex","1","1","447","0.3625","0.73"
"Nice and loud good sound quality and decent bottom end for such a small speaker very full sound! This is my second purchase I wanted one to keep in my barn. I definitely recommend!","B099TLMRB6","5","Reviewed in the United States July 14, 2024","2024-07-14","1","Bose Soundlink Flex","1","1","180","0.2428787878787878","0.5437878787878788"
"Compact and useful. Would have liked to have a wall charger transformer plug included, but the USB charge cord works well.","B099TLMRB6","5","Reviewed in the United States July 31, 2024","2024-07-31","1","Bose Soundlink Flex","1","1","122","0.4499999999999999","0.4"
"The design, weight, size and sound quality are amazing for the price.Bought it near the end of June and now, July 31, the same speaker is $40.00 less. Too much of a hassle to return.","B099TLMRB6","5","Reviewed in the United States August 1, 2024","2024-08-01","1","Bose Soundlink Flex","1","1","182","0.1888888888888889","0.3486111111111111"
"The party never stops with this speaker! Sleek and modern looking design. The sound quality is great and it's small enough to take everywhere!","B099TLMRB6","5","Reviewed in the United States August 1, 2024","2024-08-01","1","Bose Soundlink Flex","1","1","142","0.23","0.47"
"This 2 pound speaker sounds insane for its size. It’s almost as loud as my jbl Xtreme 2. At lower volumes the music is balanced and you can hear details in the notes that definitely sound high-fi and high end. Well worth 150, better yet buy two for 300.","B0D4STD5ZC","5","Reviewed in the United States July 19, 2024","2024-07-19","1","Beats Pill","0","0","253","0.0766666666666666","0.5566666666666668"
"The quality of sound is great. It’s nice and compact. The battery life is ok. The charging is odd. It doesn’t charge well with an extension cord. There is a voice that tells the charging level. Some times charges to 80% or 100%. I mounted to my motorcycle (with padded foam just in case.) So far no major problems.","B099TLMRB6","4","Reviewed in the United States August 2, 2024","2024-08-02","1","Bose Soundlink Flex","1","1","314","0.3145833333333334","0.6285714285714287"
"The sound quality is great, and I like that it has a good IP rating. Waterproof also means dust proof, so we can use this at the motocross track.","B099TLMRB6","5","Reviewed in the United States July 31, 2024","2024-07-31","1","Bose Soundlink Flex","1","1","145","0.6333333333333334","0.5833333333333334"
"This Bose speaker does not disappoint! The sound is crisp and clear, and I love the bass levels; when that bass kicks in, it becomes a full-on party! The color is perfect, as it fits all of my periwinkle/lavender color schemes. I had no problem connecting my phone and my MacBook Air to the Bose app. I did have to go into my settings and change the output to the Bose speaker, but other than that, the connection is flawless!I recommend this speaker to anyone who wants superb sound on the go or stationary. Oh, and it holds a charge for quite some time. I love how it lets me know how much charge I have remaining and which device it connects to when I turn it on.This is a fun product and also use it for my massage work it really is a handy tool as well.","B099TLMRB6","5","Reviewed in the United States July 16, 2024","2024-07-16","1","Bose Soundlink Flex","1","1","758","0.3324999999999999","0.505"
"This is a great speaker! Small and compact give out great quality sound. I like the ambient sound worth the money folks.","B099TLMRB6","5","Reviewed in the United States August 3, 2024","2024-08-03","1","Bose Soundlink Flex","1","1","120","0.4416666666666666","0.4666666666666666"
"This is a must have! The sound is so beautiful it's exciting. Perfect size for portability","B08X4YMTPM","5","Reviewed in the United States July 29, 2024","2024-07-29","1","JBL Charge 5","2","1","90","0.6375","0.8"
"This little box put's out some great music and you can feel the bass. I will only buy Bose from now on. WOW what a product","B099TLMRB6","5","Reviewed in the United States July 29, 2024","2024-07-29","1","Bose Soundlink Flex","1","1","122","0.1125","0.75"
"This little speaker has a lot of base! We love it and I’m sure it’s going to get a ton of use! Would recommend","B08X4YMTPM","5","Reviewed in the United States July 26, 2024","2024-07-26","1","JBL Charge 5","2","1","110","-0.015625","0.7472222222222222"
"Van lifer here. Needed something better than my cell and this is wonderful. Nice bass. I don’t have WiFi sound I can’t use the app evidently but I’ll set up sound preferences when I am connected.","B099TLMRB6","5","Reviewed in the United States July 25, 2024","2024-07-25","1","Bose Soundlink Flex","1","1","195","0.4285714285714285","0.5785714285714285"
"Very good speaker. It is not cheap. It could be more cheap. The brand Bose add some value. I would like more power. At small room or at a table of friends is ok. At noise outdoor, like a beach, or gin, it does need max vol.","B099TLMRB6","4","Reviewed in the United States August 2, 2024","2024-08-02","1","Bose Soundlink Flex","1","1","223","0.3371428571428571","0.5828571428571429"
"This speaker gets very loud perfect for outside use for picnics and such, also works amazingly well for indoor use i just got it the other day and used it while boxing at the gym. Heavy base songs also sound really nice on it so far.","B099TLMRB6","5","Reviewed in the United States July 21, 2024","2024-07-21","1","Bose Soundlink Flex","1","1","233","0.155","0.7022727272727273"
"This speaker is amazing… smaller than I thought it would be but PERFECT! The sound quality is amazing… deep sound. Absolutely love it!!! Bose for the win!","B099TLMRB6","5","Reviewed in the United States July 28, 2024","2024-07-28","1","Bose Soundlink Flex","1","1","154","0.5395089285714285","0.5285714285714286"
"This speaker excelled my expectations! It is bug enough to play loud but small enough to store easy and travel. We used it at birthday parties and the beach and it was perfect for both. Great sound and did not take up any space traveling. So glad i got this! 100% recommend.","B0D4STD5ZC","5","Reviewed in the United States July 7, 2024","2024-07-07","1","Beats Pill","0","0","274","0.3453703703703703","0.6870370370370371"
"The sound is amazing and easy to handle.The only thing is that don’t connect to te Bose App.","B099TLMRB6","5","Reviewed in the United States July 18, 2024","2024-07-18","1","Bose Soundlink Flex","1","1","92","0.3583333333333333","0.7833333333333333"
"This thing is awesome, I got it in the green and it has woodsy vibes. The sound is amazing. I use it 2x a day in the shower as well as on my back sun porch. It packs the perfect amount of bass and the sound quality is superb with everything from pop, r and b, country, classical, opera, you name it. The battery life is good and the connectivity is instant. Very happy with it.","B099TLMRB6","5","Reviewed in the United States August 6, 2024","2024-08-06","1","Bose Soundlink Flex","1","1","377","0.4423076923076924","0.5974358974358974"
"This tiny speaker sounds amazing! Very impressed. Perfect for playing music and podcasts from my phone while I’m working around the house and I can hear better than my phone speaker.","B099TLMRB6","5","Reviewed in the United States July 29, 2024","2024-07-29","1","Bose Soundlink Flex","1","1","182","0.65","0.78"
"It is great","B0CXL4FQBK","5","Reviewed in the United States May 26, 2024","2024-05-26","1","Sony ULT Field","0","0","11","0.8","0.75"
"This was a nice surprise. I wanted a portable bluetooth speaker for my home office and opted for this Bose unit because of the positive reviews. So far, the positive reviews have been spot on. Great and very clean sound clarity even when the volume is maxed out. Easy to use and I like the option of being able to connect two different devices onto this speaker. The party mode feature of being able to connect to another Bose Soundlink speaker is something I might try sooner than later as having an extra speaker in the garage would be nice.","B099TLMRB6","5","Reviewed in the United States June 12, 2024","2024-06-12","1","Bose Soundlink Flex","1","1","543","0.3474675324675324","0.6381601731601731"
"It was on sale. It was purple. It was Bose. Those were my reasons for purchasing, despite the reviews complaining about the voice prompts. I used the Bose Connect app to set it up, but I deleted the app afterwards. It was always saying the speaker disconnected even though it was still playing. The app let me turn off the voice prompts. Then I found the actual user manual online and discovered an alternate method:Press and hold + and - simultaneously until you hear “Voice prompts off.”It sounds pretty good, but I mosty use it for voice.It doesn't matter how it is oriented; it still sounds good.But the material that it's made of is messy. It picks up dust and dog hair way too easily. I am trying to find a good way to keep it clean.I think it's going to work well for me.","B099TLMRB6","4","Reviewed in the United States July 18, 2024","2024-07-18","1","Bose Soundlink Flex","1","1","778","0.269047619047619","0.5047619047619049"
"You may have trouble getting this to play sound from you desktop computer, as I did. The unit misleads you by saying you need to download the app 'Bose connect'. I tried to, but could not get it to download from the App store or from the Bose website. Other Bluetooth speakers connected automatically for me, so this was a hassle. I tried to chat with the Bose help bot, but it was of no help; the lady on the phone at Bose tech support was of no help and disconnected mid-sentence and didn't call me back. I tried to return the item on Amazon, then saw a troubleshooting video. Open your 'systems settings' on your computer and select 'sound'; click the Bose option for speaker 'output'. For some reason this Bose unit doesn't default as the output as other Bluetooth speakers did on my computer. Then you should be able to hear it.","B099TLMRB6","5","Reviewed in the United States July 30, 2024","2024-07-30","1","Bose Soundlink Flex","1","1","833","0.10625","0.359375"
"To sum it up in 3 letters - WOW! Totally impressed by the sound this little might produces! Great sound, super ridiculously easy set up and I recommend it highly! PS, just got this so hence, the 4 stars.","B099TLMRB6","4","Reviewed in the United States July 17, 2024","2024-07-17","1","Bose Soundlink Flex","1","1","203","0.3841435185185186","0.6766666666666666"
"Too much bass and voice distorts on full Volume.I find Earfun Uboom L is better.","B0D4STD5ZC","2","Reviewed in the United States July 1, 2024","2024-07-01","1","Beats Pill","0","0","80","0.2333333333333333","0.5166666666666667"
"We all know Bose sounds great but for the money, this speaker rocks.Grab two of them and pair them together for bigger sound!","B099TLMRB6","5","Reviewed in the United States July 27, 2024","2024-07-27","1","Bose Soundlink Flex","1","1","125","0.4333333333333333","0.5499999999999999"
"I bought this speaker because I wanted a way to listen to music while grilling in my backyard. I had no expectations of it being a “party” speaker or anything of the like.But my goodness. This speaker punched above the weight I expected and what reviewers claim. They say it’s good for less than 10 people. Probably true if in an enclosed space.Outside, standing in the corner of my backyard about 40+ feet away, the speaker volume is at about 60-70% and with the air conditioner droning on I can still hear this speaker, and the vocals are clear, the instruments are clear, and there’s even some punch of the bass. It’s so much more potent than I expected.I actually bought a second one (the one pictured) so I could utilize Party Mode and Stereo Mode, and then these are far better than they have any right to be. The bass shook through the house at about 40% volume, to the extent that my wife actually asked me to return one and get some noise cancelling headphones if I wanted to be blaring music all day. 😂So (for now), I’m obliging and returning one, but honestly, I don’t want to. One of these speakers are great. Two make a great portable stereo system.Now for the feature set. Key selling points for me were:1. Durability. It’s made of steel and silicone, is rated to withstand a dunk in water and dust. You can enjoy this in the yard, on your workbench, swimming, shower, etc. I live in high desert, and the wind blew over these speakers from a table to the ground and they didn’t have a single dent or scratch. Which leads me to…2. The device has sensors built in that detect its positioning, so the sound quality was maintained even if it’s on its back, side, or face down. None of the other products that compete in this segment offer that function to my knowledge.3. Unlike other products that I considered, this sounded good right out of the box. Anker (Soundcore) offers some great competition in this segment, but needs the EQ tweaked to shine. They’re not bad by any means, but I wanted things to just be simple. Power on and go without fuss. Bose delivered that.There are similar products for sure. Ultimate Ears will also let you pair two portables to create a stereo, but it lacked the intelligence that this speaker did.We already covered Soundcore. Tweak with the EQ, save some money, you’ll likely be happy.These speakers do often go on sale, and I purchased mine used (like new) and refurbished respectively. The “Used” unit was actually brand new from Amazon, broke the seals on the box and everything. Far as I could tell, the speaker just rolled around in someone’s trunk unopened before returning. The box had some cosmetic damage but no dents, broken seals, and all accessories were obviously also unopened.Refurbished unit came straight from Bose. Also came with all accessories and literature, just a box that was labeled “Refurbished”. Warranty on refurbished or new are 1 year regardless.I bring this up to encourage you to save some money, reduce some e-waste, and buy secondhand like I did. No judgments if you want to go new of course! But I got 2 speakers, one that was new in reality, essentially $100 off the set, and I didn’t miss out on anything in terms of product or warranty.$150 is pricey for a speaker, but $103 for a Bose speaker is not. Especially one that can literally go for a swim.Four criticisms I’d like y’all to know. First, compression above about 75% volume. Your bass will flatline above this point to maintain clarity of the track as a whole. In reality, that just means you go from a slightly warm tone to a very neutral tone of sound profile. No big deal unless you’re blasting EDM, Hip-Hop, the like. As I said, this little 20W speaker carries enough punch that 70% was more than enough to fill my backyard.Second criticism is no biggie for me, but worth bringing up for those shopping the competition. I didn’t want to fuss with an EQ, but competitors do have them to fine tune your sound. Consequentially, the app is basically useless beyond seeing your battery life and an option on how to do party mode (not required).Third criticism is truly a nitpick, but why do I have two apps for my Bose products? Why do I need one for headphones and one for speakers? Wish Bose would put all their portable speakers and headphones into one app. You could easily knock out criticisms 3-4 by just putting this speaker into the Bose Music app, like my QuietComfort Headphones, and this VERY speaker's big brother, the Soundlink Flex Max, is already there. Why the heck is the Soundlink Flex not in Bose Music, with a basic EQ like the others?Fourth, this uses outdated Bluetooth. No big deal. Pairs easily. But don’t expect to watch movies or game off of this. Latency is too high.Anyhow, enough of that. Go buy one. Or better yet, two. You won’t be disappointed.","B099TLMRB6","5","Reviewed in the United States July 2, 2024","2024-07-02","1","Bose Soundlink Flex","1","1","4818","0.1351937053461443","0.4523377503255552"
"Great sound.","B08X4YMTPM","5","Reviewed in the United States July 21, 2024","2024-07-21","1","JBL Charge 5","2","1","12","0.6000000000000001","0.575"
"I bought this speaker to use in my home. The great thing about it is that it’s blue toothed to my phone. The sound is very clear in a small places. I’m glad I made this purchase.","B099TLMRB6","5","Reviewed in the United States August 3, 2024","2024-08-03","1","Bose Soundlink Flex","1","1","178","0.2633333333333333","0.5247222222222222"
"I don’t know how they do it, but Bose gets good bass and nicely balanced sound out this speaker.","B099TLMRB6","5","Reviewed in the United States July 7, 2024","2024-07-07","1","Bose Soundlink Flex","1","1","96","0.3874999999999999","0.625"
"Clean bass and treble better than my jbl flip4. Beautiful look and sturdy. Back of the speaker works as bass front is more treble.","B09XXW54QG","5","Reviewed in the United States June 4, 2024","2024-06-04","1","Marshall Emberton II","0","1","130","0.2738095238095238","0.5285714285714286"
"If you spend the money for a speaker in this range this is the one. It will surprise you","B099TLMRB6","5","Reviewed in the United States July 15, 2024","2024-07-15","1","Bose Soundlink Flex","1","1","88","0","0"
"Buen sonido !!","B09XXW54QG","5","Reviewed in the United States May 23, 2024","2024-05-23","1","Marshall Emberton II","0","1","14","0","0"
"A few months ago I had an epiphany. When I was a kid my father loved to have the best in sound equipment in the house, and I would play with graphic equalizers and lay in the floor looking for the best position between the giant speakers to experiment how to better enjoy the music.Today, I hear music in monophonic audio in an old JBL Charge 3 speaker (don't tell my dad, he would be ashame of me).So I started to get better equipment. Now, I live in a small apartment with thin walls in a 3rd floor, so, big amplifiers and so are out of the question, but at least I could get better bluetooth speakers, so I tried the Marshall Emberton II.To say that I impressed with the sound would be an understatement. With out-of-the-box settings, the sound is more than detailed. 80s and 90s music sound outstanding although, Peter Cetera's Glory of Love and Toto's Africa vocals sound as I never heard them before, they are sharp and strong, sometimes detracting just a little from the overall sound (keywords here, really, just a little).This brings me to my first recommendation: do not mess with your applications equalizers if you don't know what you are doing. This speakers were clearly designed to use the manufacturer equalizer settings (more on this later). I have youtube music and amazon prime music (yeah, I know, no spotify), and my sound with the latter was to heavy on bass, to the point of drowning the music and feeling almost distorting. Tron: Legacy's soundtrack sounded specially dreadful, as Daftpunk uses heavy bass in their electronic music for that specific music. I then set the equalization in Amazon Prime Music to flat. It was a different performance altogether. I could ever hear some slight effects they used, that I had not noticed before.Now, one down for the application. Bluetooth pairing used Google Fast Pair, which was seamless and impressive (it shows appears to be a custom Marshall little window, so, it looks cool), but the application takes forever to actually ""discover"" the device, even when it is already paired.When it finally discover it (which was not too long, but took a couple of turning on and off the speaker), the application notified me of a firmware upgrade, which I proceeded to install. The installation failed miserably, so, I temporarily stopped that effort, which I retook successfully a day later. The update was surprisingly big in size, taking around 5 minutes to download, and the application simply marked the update successful while the speaker was still rebooting, which took a few seconds more than what I feel comfortable with, but it went through, and after that, the application again took surprisingly long to detect the speaker.To end that topic, the equalization settings are definitely underwhelming, with only three modes: Marshall, Voice and Push, of which I have only tried Marshall as everybody else says that Voice is just for podcast and such and Push increases bass at the expense of all the other sound bands quality.Lesson learned: unless too picky, when using this speaker, leave your apps equalizers on flat, their profile is that good.Now, to the hardware itself, people will notice this little wonder. Using the nostalgia factor with the Marshall amplifier design was a touch of genius, and the brass button on top is the cherry on top. Some reviews complain about a single button approach to multifunction (power, volume, forward-back, bluetooth pairing has another almost invisible button, which fits because you are not changing your pairing frequently). If we can handle touch control on over-head and in-ear speakers, this button is a piece of cake.My only complain in this department is that, at least for me, an old guy, the signs indicating the functions around the button, being carved in the black speaker, which has texture, are for all intent and purposes invisible, but once you get accustomed, an use the logo as a positional reference that's not a problem anymore.And finally, the little caveat. Single speaker, stereo sound. Let that sink in.Done? Ok, they achieve this trick by separating the sound left and right with drivers back and front respectively (or was it the other way around? well, you get my point). Stereo suffers a little (not too much) because both sources are incredibly close, but it brings this caveat. This speaker should not be set as others, against walls, like in shelf, and so, because you end up drowning one side.The best position for this speaker is in the center of the audio stage, and if you want to appreciate the sound, you should point one side (not the front or back) to you. that way both sources are equally distanced from you so you get a better balance.If you are ok with the caveats this product is worth the price, I definitely recommend it.","B09XXW54QG","5","Reviewed in the United States October 1, 2022","2022-10-01","1","Marshall Emberton II","0","1","4779","0.1404424111242293","0.44752886002886"
"Best sound for the size and price.","B09XXW54QG","5","Reviewed in the United States June 7, 2024","2024-06-07","1","Marshall Emberton II","0","1","34","0.7","0.35"
"I am not young and am not great at things in the tech world but this is so easy to use with my smart phone and it sounds great...just like my old Bose CD player! I use it with Spotify to listen to the songs of my youth and it is just great?","B099TLMRB6","5","Reviewed in the United States July 17, 2024","2024-07-17","1","Bose Soundlink Flex","1","1","240","0.1871031746031746","0.596031746031746"
"El mejor parlante dentro de ese rango de precios, su batería, su sonido y calidad de materiales son los mejores.","B09XXW54QG","5","Reviewed in the United States May 27, 2024","2024-05-27","1","Marshall Emberton II","0","1","112","0","0"
"Sound and clarity are fantastic","B08X4YMTPM","5","Reviewed in the United States July 22, 2024","2024-07-22","1","JBL Charge 5","2","1","31","0.4","0.65"
